episode:1, reward: -50, mean reward: -4.71, score: -47.06290235175012, epsilon: 0.9902088059587222, total steps: 519
episode:52, reward: -50, mean reward: -6.27, score: -50.13287264646996, epsilon: 0.9839865004031642, total steps: 851
episode:53, reward: -50, mean reward: -9.73, score: -48.653309987770356, epsilon: 0.9838931064229007, total steps: 856
episode:54, reward: -50, mean reward: -1.72, score: -44.679673724982365, epsilon: 0.9834076082480262, total steps: 882
episode:55, reward: -50, mean reward: -12.34, score: -49.35776682677316, epsilon: 0.983332938626191, total steps: 886
episode:56, reward: -50, mean reward: -8.28, score: -49.659713276962705, epsilon: 0.9832209453932842, total steps: 892
episode:57, reward: -50, mean reward: -16.78, score: -50.343827347623886, epsilon: 0.9831649538163246, total steps: 895
episode:58, reward: -50, mean reward: -16.73, score: -50.198355432145746, epsilon: 0.983108965598759, total steps: 898
episode:59, reward: -50, mean reward: -10.19, score: -50.971262860012544, epsilon: 0.9830156593675885, total steps: 903
episode:60, reward: -50, mean reward: -6.21, score: -49.680805506941525, epsilon: 0.9828663888040532, total steps: 911
episode:61, reward: -50, mean reward: -3.84, score: -49.86825555598814, epsilon: 0.9826238750711157, total steps: 924
episode:62, reward: -50, mean reward: -16.75, score: -50.24568357854096, epsilon: 0.9825679193173008, total steps: 927
episode:63, reward: -50, mean reward: -5.3, score: -47.685251521114665, epsilon: 0.9824000721985175, total steps: 936
episode:64, reward: -50, mean reward: -16.74, score: -50.20666456285558, epsilon: 0.9823441298724722, total steps: 939
episode:65, reward: -50, mean reward: -2.4, score: -47.93260157593896, epsilon: 0.9819712667981095, total steps: 959
episode:66, reward: -50, mean reward: -2.15, score: -47.24065345466083, epsilon: 0.9815612896423069, total steps: 981
episode:67, reward: -50, mean reward: -4.8, score: -48.02113470471488, epsilon: 0.9813749960143622, total steps: 991
episode:68, reward: -50, mean reward: -7.15, score: -50.04479181308807, epsilon: 0.9812446126419693, total steps: 998
episode:69, reward: -50, mean reward: -4.09, score: -49.064091106877996, epsilon: 0.9810211407526346, total steps: 1010
episode:70, reward: -50, mean reward: -5.35, score: -48.11394010019925, epsilon: 0.9808535720289367, total steps: 1019
episode:71, reward: -50, mean reward: -16.74, score: -50.22247422370296, epsilon: 0.9807977224901179, total steps: 1022
episode:72, reward: -50, mean reward: -7.85, score: -47.102426944404826, epsilon: 0.9806860334648946, total steps: 1028
episode:73, reward: -50, mean reward: -16.79, score: -50.37101931162192, epsilon: 0.980630193978088, total steps: 1031
episode:74, reward: -50, mean reward: -9.96, score: -49.81019657396065, epsilon: 0.9805371356116862, total steps: 1036
episode:75, reward: -50, mean reward: -6.01, score: -48.09625428263595, epsilon: 0.9803882615802284, total steps: 1044
episode:76, reward: -50, mean reward: -16.78, score: -50.34939368114826, epsilon: 0.9803324399591989, total steps: 1047
episode:77, reward: -50, mean reward: -16.81, score: -50.42733498144989, epsilon: 0.9802766216873663, total steps: 1050
episode:78, reward: -50, mean reward: -6.16, score: -49.252131962782826, epsilon: 0.980127789334802, total steps: 1058
episode:79, reward: -50, mean reward: -4.18, score: -50.21692754565287, epsilon: 0.9799045854508991, total steps: 1070
episode:80, reward: -50, mean reward: -8.17, score: -49.01739991140472, epsilon: 0.9797930035956902, total steps: 1076
episode:81, reward: -50, mean reward: -6.01, score: -48.07879832974807, epsilon: 0.9796442486158305, total steps: 1084
episode:82, reward: -50, mean reward: -8.29, score: -49.76561299303668, epsilon: 0.9795326979991675, total steps: 1090
episode:83, reward: -50, mean reward: -16.75, score: -50.26245044195768, epsilon: 0.979476927710413, total steps: 1093
episode:84, reward: -50, mean reward: -4.2, score: -50.38801454648212, epsilon: 0.9792538800145566, total steps: 1105
episode:85, reward: -50, mean reward: -16.73, score: -50.19927194001413, epsilon: 0.9791981264543793, total steps: 1108
episode:86, reward: -50, mean reward: -1.67, score: -48.31913419798891, epsilon: 0.9786593478019487, total steps: 1137
episode:87, reward: -50, mean reward: -16.76, score: -50.26580606592485, epsilon: 0.978603629912634, total steps: 1140
episode:88, reward: -50, mean reward: -16.72, score: -50.170916969415686, epsilon: 0.9785479153662924, total steps: 1143
episode:89, reward: -50, mean reward: -9.73, score: -48.66924584163374, epsilon: 0.9784550652173406, total steps: 1148
episode:90, reward: -50, mean reward: -2.91, score: -49.4824700546925, epsilon: 0.978139444153788, total steps: 1165
episode:91, reward: -50, mean reward: -16.73, score: -50.19486328173642, epsilon: 0.9780837574577563, total steps: 1168
episode:92, reward: -50, mean reward: -3.12, score: -46.77597275964063, epsilon: 0.9778053740901119, total steps: 1183
episode:93, reward: -50, mean reward: -8.53, score: -51.15848496440374, epsilon: 0.9776940441251526, total steps: 1189
episode:94, reward: -50, mean reward: -6.18, score: -49.4481027368988, epsilon: 0.9775456249519432, total steps: 1197
episode:95, reward: -50, mean reward: -3.9, score: -46.74580152546089, epsilon: 0.9773230407131318, total steps: 1209
episode:96, reward: -50, mean reward: -16.8, score: -50.39222103476577, epsilon: 0.977267402999837, total steps: 1212
episode:97, reward: -50, mean reward: -4.61, score: -50.655798033528896, epsilon: 0.9770634266094027, total steps: 1223
episode:98, reward: -50, mean reward: -16.74, score: -50.206663705645525, epsilon: 0.977007804472487, total steps: 1226
episode:99, reward: -50, mean reward: -8.09, score: -48.54485564234783, epsilon: 0.9768965702101395, total steps: 1232
episode:100, reward: -50, mean reward: -5.59, score: -50.35295620842558, epsilon: 0.9767297438423252, total steps: 1241
episode:101, reward: -50, mean reward: -16.75, score: -50.25362458530604, epsilon: 0.9766741417257748, total steps: 1244
episode:102, reward: -50, mean reward: -8.43, score: -50.565456313769545, epsilon: 0.9765629475005547, total steps: 1250
episode:103, reward: -50, mean reward: -4.45, score: -48.9813930431913, epsilon: 0.9763591260732837, total steps: 1261
episode:104, reward: -50, mean reward: -7.99, score: -47.91555596402243, epsilon: 0.9762479696476738, total steps: 1267
episode:105, reward: -50, mean reward: -16.73, score: -50.198280393007224, epsilon: 0.976192396436708, total steps: 1270
episode:106, reward: -50, mean reward: -16.73, score: -50.200612355134695, epsilon: 0.9761368265600348, total steps: 1273
episode:107, reward: -50, mean reward: -7.01, score: -49.05536385108924, epsilon: 0.9760071764800337, total steps: 1280
episode:108, reward: -50, mean reward: -5.54, score: -49.904086429660175, epsilon: 0.9758405101886835, total steps: 1289
episode:109, reward: -50, mean reward: -4.36, score: -47.90555213824448, epsilon: 0.9756368476801394, total steps: 1300
episode:110, reward: -50, mean reward: -6.09, score: -48.71776958810099, epsilon: 0.9754887576320302, total steps: 1308
episode:111, reward: -50, mean reward: -8.05, score: -48.28108803924633, epsilon: 0.9753777056443669, total steps: 1314
episode:112, reward: -50, mean reward: -16.76, score: -50.281871768440325, epsilon: 0.9753221846476748, total steps: 1317
episode:113, reward: -50, mean reward: -8.17, score: -49.01616711405657, epsilon: 0.9752111526475704, total steps: 1323
episode:114, reward: -50, mean reward: -16.8, score: -50.39732105838439, epsilon: 0.9751556416437582, total steps: 1326
episode:115, reward: -50, mean reward: -6.29, score: -50.323115810905406, epsilon: 0.9750076285824559, total steps: 1334
episode:116, reward: -50, mean reward: -16.75, score: -50.2622181824309, epsilon: 0.9749521297897215, total steps: 1337
episode:117, reward: -50, mean reward: -16.73, score: -50.19218243390441, epsilon: 0.9748966343268146, total steps: 1340
episode:118, reward: -50, mean reward: -4.07, score: -48.84570156768908, epsilon: 0.9746746857694684, total steps: 1352
episode:119, reward: -50, mean reward: -4.5, score: -49.50933749788375, epsilon: 0.9744712797140855, total steps: 1363
episode:120, reward: -50, mean reward: -16.73, score: -50.20155156377467, epsilon: 0.9744158131013178, total steps: 1366
episode:121, reward: -50, mean reward: -9.8, score: -48.979158058662605, epsilon: 0.9743233761419327, total steps: 1371
episode:122, reward: -50, mean reward: -6.34, score: -50.694612212673135, epsilon: 0.9741754962324581, total steps: 1379
episode:123, reward: -50, mean reward: -12.32, score: -49.299883454997044, epsilon: 0.9741015651500423, total steps: 1383
episode:124, reward: -50, mean reward: -16.73, score: -50.20061205645949, epsilon: 0.9740461207194829, total steps: 1386
episode:125, reward: -50, mean reward: -7.06, score: -49.388774964356585, epsilon: 0.9739167633178115, total steps: 1393
episode:126, reward: -50, mean reward: -16.74, score: -50.21761478008389, epsilon: 0.9738613299750294, total steps: 1396
episode:127, reward: -50, mean reward: -10.26, score: -51.2775737702452, epsilon: 0.9737689484611846, total steps: 1401
episode:128, reward: -50, mean reward: -10.26, score: -51.28730018020072, epsilon: 0.9736765761850291, total steps: 1406
episode:129, reward: -50, mean reward: -16.83, score: -50.47942144400845, epsilon: 0.9736211572530427, total steps: 1409
episode:130, reward: -50, mean reward: -9.91, score: -49.56235905850444, epsilon: 0.9735287997552692, total steps: 1414
episode:131, reward: -50, mean reward: -3.74, score: -48.559494242447165, epsilon: 0.9732887134799011, total steps: 1427
episode:132, reward: -50, mean reward: -6.31, score: -50.44177338881221, epsilon: 0.9731409991032096, total steps: 1435
episode:133, reward: -50, mean reward: -16.8, score: -50.40754494464257, epsilon: 0.973085612304884, total steps: 1438
episode:134, reward: -50, mean reward: -9.97, score: -49.8262632415085, epsilon: 0.9729933083589277, total steps: 1443
episode:135, reward: -50, mean reward: -10.09, score: -50.449604295883134, epsilon: 0.9729010136429046, total steps: 1448
episode:136, reward: -50, mean reward: -7.44, score: -52.064837662340636, epsilon: 0.9727718165450024, total steps: 1455
episode:137, reward: -50, mean reward: -8.3, score: -49.7821425089176, epsilon: 0.9726610905707084, total steps: 1461
episode:138, reward: -50, mean reward: -6.26, score: -50.052490172374874, epsilon: 0.9725134766056491, total steps: 1469
episode:139, reward: -50, mean reward: -9.96, score: -49.800049905267656, epsilon: 0.9724212298704022, total steps: 1474
episode:140, reward: -50, mean reward: -16.73, score: -50.20053668509064, epsilon: 0.972365886256935, total steps: 1477
episode:141, reward: -50, mean reward: -16.72, score: -50.15794160907187, epsilon: 0.972310545963985, total steps: 1480
episode:142, reward: -50, mean reward: -10.24, score: -51.20714984730998, epsilon: 0.9722183195207876, total steps: 1485
episode:143, reward: -50, mean reward: -8.04, score: -48.26192335260271, epsilon: 0.9721076599621514, total steps: 1491
episode:144, reward: -50, mean reward: -8.08, score: -48.490505205090926, epsilon: 0.9719970136818655, total steps: 1497
episode:145, reward: -50, mean reward: -6.15, score: -49.215111279713845, epsilon: 0.9718495059606088, total steps: 1505
episode:146, reward: -50, mean reward: -2.05, score: -45.162419828141154, epsilon: 0.9714439813999319, total steps: 1527
episode:147, reward: -50, mean reward: -6.19, score: -49.49514880219862, epsilon: 0.971296562156762, total steps: 1535
episode:148, reward: -50, mean reward: -16.83, score: -50.488586266463955, epsilon: 0.9712412860213332, total steps: 1538
episode:149, reward: -50, mean reward: -5.36, score: -48.27762637192894, epsilon: 0.9710754775130628, total steps: 1547
episode:150, reward: -50, mean reward: -8.25, score: -49.49403022174171, epsilon: 0.9709649550872395, total steps: 1553
episode:151, reward: -50, mean reward: -6.0, score: -48.02243674098236, epsilon: 0.9708176124821482, total steps: 1561
episode:152, reward: -50, mean reward: -6.05, score: -48.409477087993125, epsilon: 0.9706702934499879, total steps: 1569
episode:153, reward: -50, mean reward: -8.26, score: -49.55938411299505, epsilon: 0.9705598196433348, total steps: 1575
episode:154, reward: -50, mean reward: -16.73, score: -50.18664999632095, epsilon: 0.9705045877111308, total steps: 1578
episode:155, reward: -50, mean reward: -9.72, score: -48.5851539107165, epsilon: 0.9704125418547291, total steps: 1583
episode:156, reward: -50, mean reward: -16.7, score: -50.091364486897135, epsilon: 0.9703573187589274, total steps: 1586
episode:157, reward: -50, mean reward: -16.76, score: -50.265516746126764, epsilon: 0.9703020989764118, total steps: 1589
episode:158, reward: -50, mean reward: -12.31, score: -49.23153532182978, epsilon: 0.9702284777533818, total steps: 1593
episode:159, reward: -50, mean reward: -4.83, score: -48.34512340707866, epsilon: 0.9700444504611739, total steps: 1603
episode:160, reward: -50, mean reward: -8.15, score: -48.88097218075923, epsilon: 0.9699340517511736, total steps: 1609
episode:161, reward: -50, mean reward: -16.67, score: -50.01596627265016, epsilon: 0.9698788573639168, total steps: 1612
episode:162, reward: -50, mean reward: -16.73, score: -50.18844353906695, epsilon: 0.9698236662882237, total steps: 1615
episode:163, reward: -50, mean reward: -12.3, score: -49.18763211488218, epsilon: 0.969750083338278, total steps: 1619
episode:164, reward: -50, mean reward: -3.62, score: -50.73971398398408, epsilon: 0.9694925893657816, total steps: 1633
episode:165, reward: -50, mean reward: -10.26, score: -51.302303105873705, epsilon: 0.9694006447041548, total steps: 1638
episode:166, reward: -50, mean reward: -6.21, score: -49.66996329405376, epsilon: 0.9692535523687027, total steps: 1646
episode:167, reward: -50, mean reward: -16.75, score: -50.240088123501565, epsilon: 0.969198398810184, total steps: 1649
episode:168, reward: -50, mean reward: -2.21, score: -44.10682601297576, epsilon: 0.9688307929767279, total steps: 1669
episode:169, reward: -50, mean reward: -3.39, score: -50.80173678862869, epsilon: 0.9685551850820862, total steps: 1684
episode:170, reward: -50, mean reward: -16.82, score: -50.47018660042038, epsilon: 0.9685000734243475, total steps: 1687
episode:171, reward: -50, mean reward: -16.73, score: -50.17928624568526, epsilon: 0.9684449650732092, total steps: 1690
episode:172, reward: -50, mean reward: -16.75, score: -50.25823901239747, epsilon: 0.9683898600284726, total steps: 1693
episode:173, reward: -50, mean reward: -16.72, score: -50.15272439247531, epsilon: 0.9683347582899395, total steps: 1696
episode:174, reward: -50, mean reward: -4.0, score: -47.981174046423554, epsilon: 0.9681143843938753, total steps: 1708
episode:175, reward: -50, mean reward: -16.81, score: -50.42746386093113, epsilon: 0.9680592991833845, total steps: 1711
episode:176, reward: -50, mean reward: -3.94, score: -47.28677672725023, epsilon: 0.9678389913895732, total steps: 1723
episode:177, reward: -50, mean reward: -8.15, score: -48.927697934821694, epsilon: 0.9677288573187829, total steps: 1729
episode:178, reward: -50, mean reward: -16.75, score: -50.254820529192926, epsilon: 0.9676737952392227, total steps: 1732
episode:179, reward: -50, mean reward: -16.79, score: -50.3712267785955, epsilon: 0.9676187364632882, total steps: 1735
episode:180, reward: -50, mean reward: -9.81, score: -49.05149144892334, epsilon: 0.9675269791775826, total steps: 1740
episode:181, reward: -50, mean reward: -16.73, score: -50.202771480199004, epsilon: 0.9674719292103474, total steps: 1743
episode:182, reward: -50, mean reward: -16.75, score: -50.256678591635165, epsilon: 0.9674168825460113, total steps: 1746
episode:183, reward: -50, mean reward: -4.75, score: -47.487910611955336, epsilon: 0.9672334175166166, total steps: 1756
episode:184, reward: -50, mean reward: -2.74, score: -49.39528537520792, epsilon: 0.9669032729159042, total steps: 1774
episode:185, reward: -50, mean reward: -16.75, score: -50.26434740833119, epsilon: 0.9668482603699222, total steps: 1777
episode:186, reward: -50, mean reward: -16.76, score: -50.26707689840248, epsilon: 0.9667932511245939, total steps: 1780
episode:187, reward: -50, mean reward: -3.65, score: -47.39402281128908, epsilon: 0.9665549158642279, total steps: 1793
episode:188, reward: -50, mean reward: -5.51, score: -49.551640401161706, epsilon: 0.9663899508266711, total steps: 1802
episode:189, reward: -50, mean reward: -10.06, score: -50.29708586977304, epsilon: 0.9662983164133856, total steps: 1807
episode:190, reward: -50, mean reward: -2.44, score: -48.89672094957438, epsilon: 0.9659318703809125, total steps: 1827
episode:191, reward: -50, mean reward: -6.55, score: -52.376605911057155, epsilon: 0.9657853330049544, total steps: 1835
episode:192, reward: -50, mean reward: -16.77, score: -50.31560125497806, epsilon: 0.9657303875333546, total steps: 1838
episode:193, reward: -50, mean reward: -8.25, score: -49.480638289462775, epsilon: 0.9656205064798457, total steps: 1844
episode:194, reward: -50, mean reward: -8.05, score: -48.312576819521965, epsilon: 0.9655106386112721, total steps: 1850
episode:195, reward: -50, mean reward: -8.34, score: -50.06217362045864, epsilon: 0.9654007839260517, total steps: 1856
episode:196, reward: -50, mean reward: -12.22, score: -48.86794197475575, epsilon: 0.965327554792542, total steps: 1860
episode:197, reward: -50, mean reward: -4.9, score: -48.955781244917524, epsilon: 0.9651445075869142, total steps: 1870
episode:198, reward: -50, mean reward: -12.24, score: -48.953970823180654, epsilon: 0.9650712989546916, total steps: 1874
episode:199, reward: -50, mean reward: -9.75, score: -48.771736273753916, epsilon: 0.9649797964000002, total steps: 1879
episode:200, reward: -50, mean reward: -16.75, score: -50.238426247586546, epsilon: 0.9649248992591468, total steps: 1882
episode:201, reward: -50, mean reward: -7.86, score: -47.16074650407859, epsilon: 0.9648151148584315, total steps: 1888
episode:202, reward: -50, mean reward: -8.52, score: -51.13180721901013, epsilon: 0.9647053436310539, total steps: 1894
episode:203, reward: -50, mean reward: -3.67, score: -51.348962419112375, epsilon: 0.9644492619879402, total steps: 1908
episode:204, reward: -50, mean reward: -16.73, score: -50.186722829230504, epsilon: 0.9643943966781968, total steps: 1911
episode:205, reward: -50, mean reward: -6.02, score: -48.12700277436899, epsilon: 0.9642481052783524, total steps: 1919
episode:206, reward: -50, mean reward: -16.82, score: -50.4561444657196, epsilon: 0.9641932520376493, total steps: 1922
episode:207, reward: -50, mean reward: -6.19, score: -49.52927041353625, epsilon: 0.9640469928183728, total steps: 1930
episode:208, reward: -50, mean reward: -12.31, score: -49.2549247026774, epsilon: 0.9639738719838197, total steps: 1934
episode:209, reward: -50, mean reward: -16.73, score: -50.20053679221489, epsilon: 0.9639190351966207, total steps: 1937
episode:210, reward: -50, mean reward: -16.75, score: -50.24149964335541, epsilon: 0.9638642016995304, total steps: 1940
episode:211, reward: -50, mean reward: -2.92, score: -46.79591507303344, epsilon: 0.9635718119398431, total steps: 1956
episode:212, reward: -50, mean reward: -8.17, score: -48.99853148854605, epsilon: 0.9634621898998643, total steps: 1962
episode:213, reward: -50, mean reward: -4.01, score: -48.17719543146712, epsilon: 0.9632429852798948, total steps: 1974
episode:214, reward: -50, mean reward: -16.75, score: -50.24149819289616, epsilon: 0.9631881923445826, total steps: 1977
episode:215, reward: -50, mean reward: -3.3, score: -49.455139073097584, epsilon: 0.9629142769762389, total steps: 1992
episode:216, reward: -50, mean reward: -10.06, score: -50.28070546416441, epsilon: 0.9628229901129605, total steps: 1997
episode:217, reward: -50, mean reward: -16.75, score: -50.26015540792632, epsilon: 0.9627682223766021, total steps: 2000
episode:218, reward: -50, mean reward: -10.06, score: -50.31196469743688, epsilon: 0.9626769501180534, total steps: 2005
episode:219, reward: -50, mean reward: -16.76, score: -50.29194086550632, epsilon: 0.9626221911438321, total steps: 2008
episode:220, reward: -50, mean reward: -7.85, score: -47.0815498223935, epsilon: 0.9625126830515117, total steps: 2014
episode:221, reward: -50, mean reward: -12.29, score: -49.1635496747372, epsilon: 0.9624396849568303, total steps: 2018
episode:222, reward: -50, mean reward: -4.43, score: -48.706366971637586, epsilon: 0.962238970305561, total steps: 2029
episode:223, reward: -50, mean reward: -16.75, score: -50.25362458530604, epsilon: 0.96218423760934, total steps: 2032
episode:224, reward: -50, mean reward: -16.75, score: -50.25473545908133, epsilon: 0.9621295081969822, total steps: 2035
episode:225, reward: -50, mean reward: -16.75, score: -50.25354708698325, epsilon: 0.9620747820682907, total steps: 2038
episode:226, reward: -50, mean reward: -3.33, score: -46.643030187545854, epsilon: 0.9618194368793063, total steps: 2052
episode:227, reward: -50, mean reward: -8.45, score: -50.68423183058141, epsilon: 0.9617100251117181, total steps: 2058
episode:228, reward: -50, mean reward: -16.73, score: -50.19088099459583, epsilon: 0.9616553241512567, total steps: 2061
episode:229, reward: -50, mean reward: -16.74, score: -50.21346120838555, epsilon: 0.9616006264727543, total steps: 2064
episode:230, reward: -50, mean reward: -16.73, score: -50.1980655433191, epsilon: 0.9615459320760142, total steps: 2067
episode:231, reward: -50, mean reward: -16.75, score: -50.26023214834525, epsilon: 0.9614912409608396, total steps: 2070
episode:232, reward: -50, mean reward: -16.75, score: -50.253395987210936, epsilon: 0.9614365531270334, total steps: 2073
episode:233, reward: -50, mean reward: -3.02, score: -48.300191117373515, epsilon: 0.9611449400906069, total steps: 2089
episode:234, reward: -50, mean reward: -5.36, score: -48.22753972180896, epsilon: 0.960980948761053, total steps: 2098
episode:235, reward: -50, mean reward: -16.72, score: -50.15786651388447, epsilon: 0.9609262915438603, total steps: 2101
episode:236, reward: -50, mean reward: -12.31, score: -49.23960664610604, epsilon: 0.9608534203554232, total steps: 2105
episode:237, reward: -50, mean reward: -12.37, score: -49.490675276489654, epsilon: 0.960780554996448, total steps: 2109
episode:238, reward: -50, mean reward: -10.08, score: -50.40109406425047, epsilon: 0.9606894814946993, total steps: 2114
episode:239, reward: -50, mean reward: -8.6, score: -51.58250667724248, epsilon: 0.960580205313622, total steps: 2120
episode:240, reward: -50, mean reward: -4.0, score: -48.05142840977931, epsilon: 0.9603616922869588, total steps: 2132
episode:241, reward: -50, mean reward: -4.01, score: -48.12159086421473, epsilon: 0.9601432316971293, total steps: 2144
episode:242, reward: -50, mean reward: -16.75, score: -50.26345035898281, epsilon: 0.9600886247414525, total steps: 2147
episode:243, reward: -50, mean reward: -9.75, score: -48.762706772395575, epsilon: 0.9599976204292698, total steps: 2152
episode:244, reward: -50, mean reward: -5.29, score: -47.61630541346695, epsilon: 0.9598338355986695, total steps: 2161
episode:245, reward: -50, mean reward: -4.04, score: -48.473633814764625, epsilon: 0.9596155016792441, total steps: 2173
episode:246, reward: -50, mean reward: -4.33, score: -51.96302902602607, epsilon: 0.9593972201536719, total steps: 2185
episode:247, reward: -50, mean reward: -16.8, score: -50.41253428997965, epsilon: 0.959342657957345, total steps: 2188
episode:248, reward: -50, mean reward: -5.48, score: -49.33855438896726, epsilon: 0.9591789910093799, total steps: 2197
episode:249, reward: -50, mean reward: -16.68, score: -50.042016084272404, epsilon: 0.9591244419064088, total steps: 2200
episode:250, reward: -50, mean reward: -1.76, score: -47.56550189669397, epsilon: 0.9586336472342671, total steps: 2227
episode:251, reward: -50, mean reward: -16.75, score: -50.25108565573419, epsilon: 0.9585791308509409, total steps: 2230
episode:252, reward: -50, mean reward: -6.21, score: -49.668114838366634, epsilon: 0.9584337698191974, total steps: 2238
episode:253, reward: -50, mean reward: -12.33, score: -49.31684472374316, epsilon: 0.9583610980245224, total steps: 2242
episode:254, reward: -50, mean reward: -7.84, score: -47.039205399584844, epsilon: 0.9582521012326978, total steps: 2248
episode:255, reward: -50, mean reward: -16.76, score: -50.27389968755004, epsilon: 0.9581976077414449, total steps: 2251
